"","domain","phylum","class","order","family","genus","species"
"214","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","unclassified_Bacteroidales","unclassified_Bacteroidales","unclassified_Bacteroidales"
"215","Bacteria","Firmicutes","Clostridia","unclassified_Clostridia","unclassified_Clostridia","unclassified_Clostridia","unclassified_Clostridia"
"216","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae"
"217","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus","unclassified_Amaricoccus"
"218","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unclassified_Lactobacillus"
"219","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","unclassified_Segetibacter"
"220","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"221","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified_Corynebacterium"
"222","Bacteria","Firmicutes","Clostridia","Oscillospirales","unclassified_Oscillospirales","unclassified_Oscillospirales","unclassified_Oscillospirales"
"223","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"224","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","unclassified_Spirochaetaceae","unclassified_Spirochaetaceae"
"225","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified_Mitochondria","unclassified_Mitochondria"
"226","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","unclassified_Brevibacterium"
"227","Bacteria","Firmicutes","Bacilli","unclassified_Bacilli","unclassified_Bacilli","unclassified_Bacilli","unclassified_Bacilli"
"228","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","unclassified_JG30-KF-CM45","unclassified_JG30-KF-CM45"
"229","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","unclassified_Solirubrobacteraceae","unclassified_Solirubrobacteraceae"
"230","Bacteria","Firmicutes","Bacilli","Bacillales","unclassified_Bacillales","unclassified_Bacillales","unclassified_Bacillales"
"231","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unclassified_Lactobacillus"
"232","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"233","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter","unclassified_Pajaroellobacter"
"234","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","unclassified_Roseomonas"
"235","Bacteria","Firmicutes","Bacilli","Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales","unclassified_Lactobacillales"
"236","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unclassified_Lactobacillus"
"237","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"238","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","unclassified_Paracoccus"
