"","CC-VN-A-bac","CC-VN-B-bac","CC-VN-C-bac","CC-W-A-bac","CC-W-B-bac","CC-W-C-bac","DM-VN-109-bac","DM-VN-111-bac","DM-VN-112-bac","DM-VN-113-bac","DM-W-109-bac","DM-W-111-bac","DM-W-112-bac","DM-W-113-bac","LO-VN-114-bac","LO-VN-115-bac","LO-VN-116-bac","LO-VN-118-bac","LO-W-114-bac","LO-W-115-bac","LO-W-116-bac","LO-W-118-bac","UA-VN-G-bac","UA-VN-I-bac","UA-VN-J-bac","UA-W-G-bac","UA-W-I-bac","UA-W-J-bac"
"ASV47",0,0,0,62,0,30,0,0,0,0,108,166,109,506,0,0,0,0,0,67,0,371,0,0,0,0,0,0
"ASV48",0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,66,741,59
"ASV49",0,0,0,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,362,587,278
"ASV51",0,0,0,0,0,62,0,0,0,0,108,618,35,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,0
"ASV53",0,0,0,269,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,76,158,5,0,0,0,353,196,198
"ASV54",0,0,0,0,0,336,0,0,0,0,0,90,187,545,0,0,0,0,0,0,0,25,0,0,0,0,34,0
"ASV55",0,0,0,0,0,0,0,0,0,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0
"ASV57",0,0,0,0,299,84,0,0,0,0,39,101,134,60,0,0,0,0,0,253,0,0,0,0,0,0,14,123
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,448,0,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,225,622,234
"ASV60",0,0,0,0,0,180,0,0,0,0,11,136,17,413,0,0,0,0,0,0,0,0,0,0,0,58,113,128
"ASV61",0,0,0,0,0,28,0,0,0,0,12,160,0,823,0,0,0,0,0,0,0,0,0,0,0,26,0,7
"ASV62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,10,0,0,0,0,0,1,12,0
"ASV63",0,0,0,0,0,165,0,0,0,0,304,141,23,58,0,0,0,0,0,25,93,0,0,0,0,91,27,39
"ASV64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,537,0,0,0,0,403,0
"ASV65",0,0,0,0,0,41,0,0,0,0,0,0,71,0,0,0,0,0,0,110,633,0,0,0,0,35,43,18
"ASV66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0
"ASV67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,390,0,0,0,41,185,52
"ASV68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0,0,0
"ASV69",0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV70",0,0,0,0,0,361,0,0,0,0,232,203,62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV71",0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"ASV72",0,0,0,0,0,26,0,0,0,0,120,378,0,276,0,0,0,0,0,0,0,0,0,0,0,36,0,19
"ASV73",0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV74",0,0,0,0,763,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"ASV75",0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV76",0,0,0,0,0,62,0,0,52,0,0,75,193,46,0,0,0,0,0,324,0,36,0,0,0,0,0,0
"ASV77",0,0,0,0,0,130,0,0,0,0,275,29,57,175,0,0,0,0,0,0,70,0,0,0,0,16,26,0
"ASV78",0,0,0,0,0,0,0,0,0,0,0,42,126,82,0,0,0,0,0,0,0,523,0,0,0,0,0,0
"ASV79",0,0,0,0,0,73,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV80",0,0,0,0,0,7,0,0,0,0,626,4,15,43,0,0,0,0,0,0,0,0,0,0,0,28,27,7
"ASV81",0,0,0,0,0,155,0,0,0,0,465,32,0,40,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"ASV82",0,0,0,0,0,58,0,0,0,0,0,75,56,526,0,0,0,0,0,0,0,0,0,0,0,31,0,0
"ASV83",0,0,0,0,0,115,0,0,0,0,97,259,71,139,0,0,0,0,0,0,0,0,0,0,0,0,60,0
"ASV84",0,0,0,0,0,211,0,0,0,0,32,57,112,104,0,0,0,0,0,0,162,0,0,0,0,0,59,0
"ASV85",0,0,0,15,0,133,0,0,0,0,64,0,272,42,0,0,0,0,0,57,0,8,0,0,0,47,54,26
"ASV86",0,0,0,22,0,107,0,0,0,0,118,123,97,85,0,0,0,0,0,0,0,0,0,0,0,55,39,71
"ASV87",0,0,0,0,381,44,0,0,0,0,0,0,257,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"ASV88",0,0,0,186,0,273,0,0,0,0,73,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"ASV89",0,0,0,0,159,54,0,0,0,0,0,63,38,0,0,0,0,0,0,184,0,29,0,0,0,43,44,80
"ASV90",0,0,6,0,0,0,0,0,0,0,91,82,35,0,0,0,0,0,0,0,205,151,0,0,0,58,36,0
"ASV91",0,182,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0
"ASV92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,88,71
"ASV93",0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"ASV94",0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV95",0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,184,0,0,0,0,0,229,60,131
"ASV96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,186,244,68
"ASV97",0,0,0,0,0,432,0,0,0,0,0,40,137,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"ASV98",0,0,0,0,0,141,0,0,0,0,0,118,119,77,0,0,0,0,0,0,0,0,0,0,0,56,45,61
"ASV99",0,0,0,0,0,138,0,0,0,0,17,210,58,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV100",0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,314,56
"ASV101",0,0,0,0,0,95,0,0,0,0,0,37,0,69,0,0,0,0,0,0,0,0,3,0,0,245,69,57
"ASV102",0,0,0,0,0,60,0,0,0,0,0,46,0,0,0,0,0,0,0,0,107,0,0,0,0,229,76,57
"ASV103",0,0,0,433,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,112,11
"ASV104",0,0,0,0,543,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV105",0,0,0,0,0,229,0,0,0,0,16,14,89,28,0,0,0,0,0,0,179,0,0,0,0,0,0,0
"ASV106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,319,94
"ASV107",0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV108",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533
"ASV109",0,0,0,0,0,139,0,0,0,0,50,63,16,214,0,0,0,0,0,0,0,0,0,0,0,33,14,2
"ASV110",0,0,0,0,0,0,0,0,0,0,505,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"ASV111",0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,0,63,0,0,0,0,55,119,0,130,0,0,0,0,0,0,0,0,0,0,0,94,32,29
"ASV113",0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV114",0,0,0,0,0,82,0,0,0,0,0,259,52,23,0,0,0,0,0,32,0,0,0,0,0,49,0,0
"ASV115",0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV116",0,0,0,158,0,14,0,0,0,0,51,0,0,0,0,0,0,0,0,0,236,24,0,0,0,0,0,0
"ASV117",0,0,0,14,13,25,0,0,0,0,2,108,72,27,0,0,0,0,0,0,0,0,0,0,0,65,131,21
"ASV118",0,0,0,0,0,54,0,0,0,0,0,77,21,19,0,0,0,0,0,305,0,0,0,0,0,0,0,0
"ASV119",0,0,0,400,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,30
"ASV120",0,0,0,0,0,0,0,0,418,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV121",0,0,0,0,0,201,0,0,0,0,28,63,48,104,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"ASV122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0
"ASV123",0,0,0,28,0,0,0,0,0,0,71,87,19,0,0,0,0,0,0,27,0,154,0,0,0,33,0,40
"ASV124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,134,67
"ASV125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,21,39,27
"ASV126",0,0,0,194,31,11,0,0,9,0,20,11,59,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0
"ASV127",0,0,0,27,0,24,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,206
"ASV128",0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,59,0,36
"ASV130",0,0,0,0,0,392,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13
"ASV131",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,415,0,0,0,0,0,0,9,6,3
"ASV132",0,0,0,0,0,0,0,0,0,0,0,359,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV133",0,0,0,0,0,22,0,0,0,0,222,30,0,0,0,0,0,0,0,0,0,0,0,0,0,94,22,36
"ASV134",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,399
"ASV135",0,0,0,0,0,17,0,0,0,0,0,312,18,39,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"ASV136",0,0,0,0,0,10,0,0,0,0,0,92,39,14,0,0,0,0,0,0,0,0,0,0,0,112,119,26
"ASV137",0,0,0,0,0,18,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV138",0,0,0,218,0,0,0,0,0,0,32,9,0,8,0,0,0,0,0,40,0,0,0,0,0,37,22,40
"ASV139",0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,356,8,0,0,0,0,0,0
"ASV140",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,346,0,0
"ASV141",0,0,0,0,0,111,0,0,0,0,0,18,54,28,0,0,0,0,0,0,128,0,0,0,0,62,0,0
"ASV142",0,0,0,0,0,144,0,0,0,0,0,202,0,48,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ASV143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0
"ASV144",0,0,0,24,0,66,0,0,0,0,28,61,54,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV145",0,0,0,15,8,17,0,0,0,0,61,29,14,20,0,0,0,0,0,0,0,37,0,0,0,49,19,113
"ASV146",0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
